# s                      t_skin                      t_blade                      w_cap                      chord                      t_cap
3.325039999999999907e+01 4.000000000000000083e-03 1.756436255445833483e+00 8.480701622878401569e-01 5.808050104166667005e+00 8.170296296296296334e-02
3.497749999999999915e+01 3.799999999999999992e-03 1.675058577739583221e+00 8.300989866215000568e-01 5.693809635416666737e+00 8.230300925925926325e-02
3.670499999999999829e+01 3.799999999999999992e-03 1.597312923390220574e+00 8.121236487930001413e-01 5.573020070310002794e+00 8.285144843568945094e-02
3.843249999999999744e+01 3.600000000000000335e-03 1.522816703649089609e+00 7.941483109645001148e-01 5.446425071907958326e+00 8.300000000000000433e-02
4.007309999999999661e+01 3.600000000000000335e-03 1.456599334669836043e+00 7.770772028652601637e-01 5.319865148452306514e+00 8.300000000000000433e-02
4.180080000000000240e+01 3.568528389339512951e-03 1.388883926900062793e+00 7.590997839556801186e-01 5.183766481364497025e+00 8.296852838933951868e-02
4.352819999999999823e+01 3.399999999999999811e-03 1.326664620450533461e+00 7.411254866677201569e-01 5.041840935342121632e+00 8.236847222222222487e-02
4.525520000000000209e+01 3.399999999999999811e-03 1.265544018158945461e+00 7.231553515419200107e-01 4.898791563088511936e+00 8.176847222222222156e-02
4.698279999999999745e+01 3.368528389339514161e-03 1.210530208091428639e+00 7.051789731728801414e-01 4.751350857142857542e+00 8.110558516801855133e-02
4.871029999999999660e+01 3.200000000000000153e-03 1.156417192937460703e+00 6.872036353443801149e-01 4.603610271636133788e+00 8.010534722222223403e-02
5.043730000000000047e+01 3.200000000000000153e-03 1.107192292653190080e+00 6.692335002185800796e-01 4.454366051800378479e+00 7.910534722222223314e-02
5.225119999999999720e+01 3.148505214368483695e-03 1.057375004148129127e+00 6.503591353635200800e-01 4.297818951071314508e+00 7.784551564310544791e-02
5.397870000000000346e+01 3.000000000000000062e-03 1.013318169467124941e+00 6.323837975350200535e-01 4.149100370962583106e+00 7.664534722222221541e-02
5.570580000000000354e+01 3.000000000000000062e-03 9.717278856433875234e-01 6.144126218686800645e-01 4.001534833876220887e+00 7.539370370370369889e-02
5.743330000000000268e+01 3.000000000000000062e-03 9.321106239609771027e-01 5.964372840401801490e-01 3.854838009771986762e+00 7.399392815758980280e-02
5.916080000000000183e+01 2.799999999999999972e-03 8.953546111732887391e-01 5.784619462116801225e-01 3.710259205342236744e+00 7.214212962962963938e-02
6.088779999999999859e+01 2.799999999999999972e-03 8.595211084453636685e-01 5.604918110858800873e-01 3.566477628403998512e+00 7.009055555555555872e-02
6.255369999999999919e+01 2.799999999999999972e-03 8.268600507411237865e-01 5.431574462300201578e-01 3.430954567390554821e+00 6.777654692931633917e-02
6.428109999999999502e+01 2.799999999999999972e-03 7.933188305627241199e-01 5.251831489420601962e-01 3.291779379928315485e+00 6.513895833333335772e-02
6.600809999999999889e+01 2.600000000000000314e-03 7.604548871577061497e-01 5.072130138162601609e-01 3.155414469534050248e+00 6.230166666666666492e-02
6.773510000000000275e+01 2.600000000000000314e-03 7.283802199812171585e-01 4.892428786904601257e-01 3.022324564237415245e+00 5.906607184241020186e-02
6.952439999999999998e+01 2.600000000000000314e-03 6.957078550218341872e-01 4.706244868082400945e-01 2.886754585152838448e+00 5.533612977983778242e-02
7.125190000000000623e+01 2.600000000000000314e-03 6.650493590909090091e-01 4.526491489797400680e-01 2.759540909090908656e+00 5.168402777777775930e-02
7.297889999999999588e+01 2.600000000000000314e-03 6.351637511864407504e-01 4.346790138539401438e-01 2.635534237288135628e+00 4.768402777777779739e-02
7.465850000000000364e+01 2.600000000000000314e-03 6.066778071787836124e-01 4.172020949441000992e-01 2.517335299497027279e+00 4.355515643105443285e-02
7.638590000000000657e+01 2.399999999999999790e-03 5.778847263349998764e-01 3.992277976561400266e-01 2.397861934999999001e+00 3.915465277777776393e-02
7.816089999999999804e+01 2.399999999999999790e-03 5.473629800850000615e-01 3.807582030711401666e-01 2.271215684999999596e+00 3.438083333333335351e-02
7.988840000000000430e+01 2.399999999999999790e-03 5.132671234608986444e-01 3.627828652426400291e-01 2.129739101497504450e+00 2.952996523754343114e-02
8.157670000000000243e+01 2.399999999999999790e-03 4.733736831932245925e-01 3.452154193058201148e-01 1.964206154328732579e+00 2.464719907407407137e-02
8.334300000000000352e+01 2.399999999999999790e-03 4.182731607484768133e-01 3.268363517478000135e-01 1.735573281114011657e+00 1.912893518518518285e-02
8.507120000000000459e+01 2.399999999999999790e-03 3.338719596449694071e-01 3.061095783179620944e-01 1.385360828402362632e+00 1.367582850521435051e-02
8.636599999999999966e+01 2.399999999999999790e-03 2.008831400000000156e-01 2.781183871883041725e-01 8.335399999999999476e-01 9.477314814814822089e-03
